vendor,category,name,sku,price,unit,url,image,scrape_date
Clarington Home Hardware,Lumber,PT 2x6x10,2836007,$15.73,/each,https://claringtonhomehardware.com/p/pt-2x6x10/2836007,https://ik.imagekit.io/toolbx/p_1693541119656_6244b898-a075-45bf-a0e2-f0dae3f7aace_2836007.jpg,2026-01-07 10:32:13.257947
Clarington Home Hardware,Lumber,Cedar 5/4x6x16,2805623,$31.84,/each,https://claringtonhomehardware.com/p/cedar-54x6x16/2805623,https://ik.imagekit.io/toolbx/p_1693541214419_30180c3b-97c5-40a7-b3ec-bccddd5095ee_2805623.jpg,2026-01-07 10:32:13.349131
Clarington Home Hardware,Lumber,LVL 7-1/4x14',714LVL14,$103.38,/each,https://claringtonhomehardware.com/p/lvl-7-14x14/714LVL14,https://ik.imagekit.io/toolbx/p_1693541388091_9f00af8d-84ca-481f-bdd3-b6349cfef217_714LVL14.jpg,2026-01-07 10:32:13.404630
Clarington Home Hardware,Lumber,Spruce 2x10x24,2832493,$108.98,/each,https://claringtonhomehardware.com/p/spruce-2x10x24/2832493,https://ik.imagekit.io/toolbx/p_1693541519579_097e10ca-7c4b-4502-a5b7-a7475659e8c5_2832493.jpg,2026-01-07 10:32:13.463806
Clarington Home Hardware,Lumber,Pine 1x2x8,910011,$1.62,/each,https://claringtonhomehardware.com/p/pine-1x2x8/910011,https://ik.imagekit.io/toolbx/p_1693540917320_0757e14e-dd66-481e-aa64-e672cdfea384_910011.jpg,2026-01-07 10:32:13.518407
Clarington Home Hardware,Lumber,Pine 1x4,2826875,$3.69,/foot,https://claringtonhomehardware.com/p/pine-1x4/2826875,https://ik.imagekit.io/toolbx/p_1693540922600_6ab7e7fe-b051-4f82-9b33-682828c1a983_2826875.jpg,2026-01-07 10:32:13.574095
Clarington Home Hardware,Lumber,LVL 11-7/8x12',1178LVL12,$134.22,/each,https://claringtonhomehardware.com/p/lvl-11-78x12/1178LVL12,https://ik.imagekit.io/toolbx/src-img/158706539262,2026-01-07 10:32:13.631447
Clarington Home Hardware,Lumber,PT 1x6x5,2835955,$3.98,/each,https://claringtonhomehardware.com/p/pt-1x6x5/2835955,https://ik.imagekit.io/toolbx/p_1693540991218_188c8357-5892-4f8a-9d97-e8fc1bf39de2_2835955.jpg,2026-01-07 10:32:13.687098
Clarington Home Hardware,Lumber,Cedar 2x6x12,2805483,$38.99,/each,https://claringtonhomehardware.com/p/cedar-2x6x12/2805483,https://ik.imagekit.io/toolbx/p_1693541104254_819df133-ac67-43c8-a0b6-980d8a9f3ea9_2805483.jpg,2026-01-07 10:32:13.743379
Clarington Home Hardware,Lumber,Spruce 2x12x18,2832505,$79.75,/each,https://claringtonhomehardware.com/p/spruce-2x12x18/2832505,https://ik.imagekit.io/toolbx/p_1693541548232_83290505-206a-4c6d-82c1-b1090720b624_2832505.jpg,2026-01-07 10:32:13.831480
Clarington Home Hardware,Lumber,Cedar 2x6x8,2805471,$25.99,/each,https://claringtonhomehardware.com/p/cedar-2x6x8/2805471,https://ik.imagekit.io/toolbx/p_1693541095114_fb026cd5-1084-4827-bd76-716cfb6caa78_2805471.jpg,2026-01-07 10:32:13.889265
