category,name,sku,price,unit,url,image
Simpson Strong Ties,"2-1/2"" x 9-1/2"" Top Mount I-Joist Hanger",LT259,3.79,/each,https://slacklumber.ca/p/2-12-x-9-12-top-mount-i-joist-hanger/LT259,https://ik.imagekit.io/toolbx/1761331262794
Simpson Strong Ties,"2-1/2"" x 11-7/8"" Top Mount I-Joist Hanger",LT251188,5.04,/each,https://slacklumber.ca/p/2-12-x-11-78-top-mount-i-joist-hanger/LT251188,https://ik.imagekit.io/toolbx/1761331184340
Simpson Strong Ties,"2-1/2"" x 14"" Top Mount I-Joist Hanger",LT2514,5.40,/each,https://slacklumber.ca/p/2-12-x-14-top-mount-i-joist-hanger/LT2514,https://ik.imagekit.io/toolbx/1761331224799
Simpson Strong Ties,"3-1/2"" x 9-1/2"" Top Mount I-Joist Hanger",LT359,4.66,/each,https://slacklumber.ca/p/3-12-x-9-12-top-mount-i-joist-hanger/LT359,https://ik.imagekit.io/toolbx/1761331419926
Simpson Strong Ties,"3-1/2"" x 11-7/8"" Top Mount I-Joist Hanger",LT351188,4.45,/each,https://slacklumber.ca/p/3-12-x-11-78-top-mount-i-joist-hanger/LT351188,https://ik.imagekit.io/toolbx/1761331307272
Simpson Strong Ties,"3-1/2"" x 14"" Top Mount I-Joist Hanger",LT3514,5.60,/each,https://slacklumber.ca/p/3-12-x-14-top-mount-i-joist-hanger/LT3514,https://ik.imagekit.io/toolbx/1761331377870
Simpson Strong Ties,"2-1/2"" X 9-1/2"" Top-Flange I-Joist Hanger",ITS2.56/9.5,4.62,/each,https://slacklumber.ca/p/2-12-x-9-12-top-flange-i-joist-hanger/ITS2.56%2F9.5,https://ik.imagekit.io/toolbx/1761333147346
Simpson Strong Ties,"2-1/2"" X 11-7/8"" Top-Flange I-Joist Hanger",ITS2.56/11.88,5.26,/each,https://slacklumber.ca/p/2-12-x-11-78-top-flange-i-joist-hanger/ITS2.56%2F11.88,https://ik.imagekit.io/toolbx/1761333034267
Simpson Strong Ties,"2-1/2"" X 14"" Top-Flange I-Joist Hanger",ITS2.56/14,6.49,/each,https://slacklumber.ca/p/2-12-x-14-top-flange-i-joist-hanger/ITS2.56%2F14,https://ik.imagekit.io/toolbx/1761333068090
Simpson Strong Ties,"3-1/2"" X 9-1/2"" Top-Flange I-Joist Hanger",ITS3.56/9.5,5.51,/each,https://slacklumber.ca/p/3-12-x-9-12-top-flange-i-joist-hanger/ITS3.56%2F9.5,https://ik.imagekit.io/toolbx/1761333363787
Simpson Strong Ties,"3-1/2"" X 11-7/8"" Top-Flange I-Joist Hanger",ITS3.56/11.88,5.54,/each,https://slacklumber.ca/p/3-12-x-11-78-top-flange-i-joist-hanger/ITS3.56%2F11.88,https://ik.imagekit.io/toolbx/1761333189985
Simpson Strong Ties,"3-1/2"" X 14"" Top-Flange I-Joist Hanger",ITS3.56/14,6.67,/each,https://slacklumber.ca/p/3-12-x-14-top-flange-i-joist-hanger/ITS3.56%2F14,https://ik.imagekit.io/toolbx/1761333326257
Simpson Strong Ties,"2-1/2"" X 9-1/2"" Face Mount I-Joist Hanger",IUS2.56/9.5,3.40,/each,https://slacklumber.ca/p/2-12-x-9-12-face-mount-i-joist-hanger/IUS2.56%2F9.5,https://ik.imagekit.io/toolbx/1761332797069
