category,name,sku,price,unit,url,image,scraped_time
Lumber,6x6x10' Cedar Post,C6610,250.88,/each,https://shop.newcanadianslumber.com/p/6x6x10-cedar-post/C6610,https://ik.imagekit.io/toolbx/ecommerce/NCL/6X6CEDAR.png,
Lumber,1x4x16' Finger-Joint Pine,FJ1416,21.29,/each,https://shop.newcanadianslumber.com/p/1x4x16-finger-joint-pine/FJ1416,https://ik.imagekit.io/toolbx/ecommerce/NCL/FJ1416.jpeg,
Lumber,2x12x12' Pine #1,P21212,101.2,/each,https://shop.newcanadianslumber.com/p/2x12x12-pine-1/P21212,https://ik.imagekit.io/toolbx/p_1657814313433_7aba07f7-9a71-4b94-bcc6-ed910d940b0e.jpg,
Lumber,"2x8x3/4"" Square Cedar Lattice - Custom Order",CL2834S,78,/each,https://shop.newcanadianslumber.com/p/2x8x34-square-cedar-lattice-custom-order/CL2834S,https://ik.imagekit.io/toolbx/ecommerce/NCL/CL2834S.jpg,
Lumber,1x4x8' Oak Lumber,O148,31.5,/each,https://shop.newcanadianslumber.com/p/1x4x8-oak-lumber/O148,https://ik.imagekit.io/toolbx/ecommerce/NCL/O148.jpeg,
Lumber,"4x8x7/16"" Brown Privacy Plus Pressure Treated Lattice - Custom Order",PL48716PP,46.99,/each,https://shop.newcanadianslumber.com/p/4x8x716-brown-privacy-plus-pressure-treated-lattice-custom-order/PL48716PP,https://ik.imagekit.io/toolbx/p_1606681054684_655bee97-4d41-4f5e-a89f-4fe029e7d972.jpg,
Lumber,1x10x8' Pine #1,P1108,23.8,/each,https://shop.newcanadianslumber.com/p/1x10x8-pine-1/P1108,https://ik.imagekit.io/toolbx/p_1657819528232_131c9bba-bf44-40db-8972-b09a60f55882.jpg,
Lumber,4x4x12' Premium Cedar Post,C4412,98.76,/each,https://shop.newcanadianslumber.com/p/4x4x12-premium-cedar-post/C4412,https://ik.imagekit.io/toolbx/ecommerce/NCL/4X4CEDAR.png,
Lumber,2x12x12' Pine #1,P21214,118.07,/each,https://shop.newcanadianslumber.com/p/2x12x12-pine-1/P21214,https://ik.imagekit.io/toolbx/p_1657814314227_be6dad64-0b7c-4f35-843a-25dfa25465d9.jpg,
Lumber,LVL Beam 7-1/4x20',LVL71420,111.95,/each,https://shop.newcanadianslumber.com/p/lvl-beam-7-14x20/LVL71420,https://ik.imagekit.io/toolbx/demo/catalog-images/toolbxLVL_2-198d84580f2.png,
Lumber,5/4x6x12' Cedar Deck Boards,C1612DB,35.99,/each,https://shop.newcanadianslumber.com/p/54x6x12-cedar-deck-boards/C1612DB,https://toolbx-product-catalog.s3.us-east-1.amazonaws.com/ecommerce/CatalogOPSProject/TLBX/TLBX-01-103-5406.png,
Lumber,1x6x16' Clear Pine,CP1616,46.24,/each,https://shop.newcanadianslumber.com/p/1x6x16-clear-pine/CP1616,https://ik.imagekit.io/toolbx/p_1657819516575_4c6a3c94-b5a3-4be1-a99b-d50f729b242e.jpg,
Lumber,Roseburg Floor Joist 40S 11-7/8x14',FJ40S117814,53.95,/each,https://shop.newcanadianslumber.com/p/roseburg-floor-joist-40s-11-78x14/FJ40S117814,https://ik.imagekit.io/toolbx/i_joist.jpg,
Lumber,LVL Beam 11-7/8x20',LVL117820,183.95,/each,https://shop.newcanadianslumber.com/p/lvl-beam-11-78x20/LVL117820,https://ik.imagekit.io/toolbx/demo/catalog-images/toolbxLVL_2-198d84580f2.png,
Lumber,2x8x8' Pine #1,P288,36.61,/each,https://shop.newcanadianslumber.com/p/2x8x8-pine-1/P288,https://ik.imagekit.io/toolbx/p_1657819546041_5f110c7e-ca57-4614-b77f-70a4a90f1e8f.jpg,
Lumber,2x8x8' Premium Cedar,C288,57.25,/each,https://shop.newcanadianslumber.com/p/2x8x8-premium-cedar/C288,https://ik.imagekit.io/toolbx/ecommerce/NCL/2X8CEDAR.png,
Lumber,2x12x14' Premium SPF,S21214,49.39,/each,https://shop.newcanadianslumber.com/p/2x12x14-premium-spf/S21214,https://ik.imagekit.io/toolbx/src-img/106968349651,
Lumber,1x10x8' Oak Lumber,O1108,86.1,/each,https://shop.newcanadianslumber.com/p/1x10x8-oak-lumber/O1108,https://ik.imagekit.io/toolbx/ecommerce/NCL/O1108.jpeg,
Lumber,2x3x10' Premium SPF,S2310,4.99,/each,https://shop.newcanadianslumber.com/p/2x3x10-premium-spf/S2310,https://ik.imagekit.io/toolbx/p_1748048472947_8770e1fc-573e-4411-aa80-5cd9ad69a4c5.jpg,
Lumber,2x12x18' Premium SPF,S21218,76.89,/each,https://shop.newcanadianslumber.com/p/2x12x18-premium-spf/S21218,https://ik.imagekit.io/toolbx/src-img/106968349651,
Lumber,2x10x16' Premium SPF,S21016,37.39,/each,https://shop.newcanadianslumber.com/p/2x10x16-premium-spf/S21016,https://toolbx-product-catalog.s3.us-east-1.amazonaws.com/ecommerce/CatalogOPSProject/TLBX/TLBX-01-109-0210.png,
