vendor,category,name,sku,flag,price,unit,url,image,brand,scraped_time,price_2026_01_06,unit_2026_01_06,status_2026_01_06,price_2026_01_08,unit_2026_01_08,status_2026_01_08,price_2026_01_07,unit_2026_01_07,status_2026_01_07,flagged_time,price_2026_01_10,unit_2026_01_10,status_2026_01_10
New Canadians Lumber,Lumber,6x6x12' Premium Cedar Post,C6612,False,$311.90,/each,https://shop.newcanadianslumber.com/p/6x6x12-premium-cedar-post/C6612,https://ik.imagekit.io/toolbx/ecommerce/NCL/6X6CEDAR.png,,,,,,,,,,,,,,,
New Canadians Lumber,Lumber,LVL Beam 9-1/2x8',LVL9128,False,$58.95,/each,https://shop.newcanadianslumber.com/p/lvl-beam-9-12x8/LVL9128,https://ik.imagekit.io/toolbx/demo/catalog-images/toolbxLVL_2-198d84580f2.png,,,,,,,,,,,,,,,
New Canadians Lumber,Lumber,1x6x6' Poplar Lumber,POP166,False,$26.55,/each,https://shop.newcanadianslumber.com/p/1x6x6-poplar-lumber/POP166,https://ik.imagekit.io/toolbx/p_1657819556549_ddc59e09-577a-4763-ac7b-ed3440ceffa7.jpg,,,,,,,,,,,,,,,
New Canadians Lumber,Lumber,1x8x10' Clear Pine,CP1810,False,$34.00,/each,https://shop.newcanadianslumber.com/p/1x8x10-clear-pine/CP1810,https://ik.imagekit.io/toolbx/ecommerce/NCL/CP1810.png,,,,,,,,,,,,,,,
New Canadians Lumber,Lumber,2x4x10' Premium Cedar,C2410,False,$21.35,/each,https://shop.newcanadianslumber.com/p/2x4x10-premium-cedar/C2410,https://ik.imagekit.io/toolbx/ecommerce/NCL/9.26.22/C2410.png,,,,,,,,,,,,,,,
New Canadians Lumber,Lumber,Pine 3/4 Quarter Round,QUA-009,False,$1.21,/each,https://shop.newcanadianslumber.com/p/pine-34-quarter-round/QUA-009,https://ik.imagekit.io/toolbx/1749735196897,,,,,,,,,,,,,,,
New Canadians Lumber,Lumber,1x8x6' Pine #1,P186,False,$12.95,/each,https://shop.newcanadianslumber.com/p/1x8x6-pine-1/P186,https://ik.imagekit.io/toolbx/p_1657819534519_91032371-319b-4af4-b792-b2794adbced1.jpg,,,,,,,,,,,,,,,
New Canadians Lumber,Lumber,2x4x8' PT,PT248,False,$7.99,/each,https://shop.newcanadianslumber.com/p/2x4x8-pt/PT248,https://ik.imagekit.io/toolbx/src-img/183591665951,,,,,,,,,,,,,,,
New Canadians Lumber,Lumber,1x2x8' PT,PT128,False,$3.59,/each,https://shop.newcanadianslumber.com/p/1x2x8-pt/PT128,https://ik.imagekit.io/toolbx/p_1606679973356_86c94da2-167c-4cbc-aa5d-66ede719f6aa.jpg,,,,,,,,,,,,,,,
New Canadians Lumber,Lumber,2x6x12' Premium SPF,S2612,False,$13.39,/each,https://shop.newcanadianslumber.com/p/2x6x12-premium-spf/S2612,https://ik.imagekit.io/toolbx/src-img/131382506884,,,,,,,,,,,,,,,
New Canadians Lumber,Lumber,1x3x10' SPF,S1310,False,$3.99,/each,https://shop.newcanadianslumber.com/p/1x3x10-spf/S1310,https://ik.imagekit.io/toolbx/1571160280941,,,,,,,,,,,,,,,
New Canadians Lumber,Lumber,1x8x12' Pine #1,P1812,False,$29.93,/each,https://shop.newcanadianslumber.com/p/1x8x12-pine-1/P1812,https://ik.imagekit.io/toolbx/p_1657819541406_4264f28d-539b-47aa-b21f-0bc7fa6d8e5d.jpg,,,,,,,,,,,,,,,
New Canadians Lumber,Lumber,1x2x8' SPF,S128,False,$1.97,/each,https://shop.newcanadianslumber.com/p/1x2x8-spf/S128,https://toolbx-product-catalog.s3.us-east-1.amazonaws.com/ecommerce/CatalogOPSProject/TLBX/TLBX-01-109-0102.png,,,,,,,,,,,,,,,
New Canadians Lumber,Lumber,"4x8x3/4"" Privacy Diagonal Cedar Lattice - Custom Order",CL4834PP,False,$174.00,/each,https://shop.newcanadianslumber.com/p/4x8x34-privacy-diagonal-cedar-lattice-custom-order/CL4834PP,https://ik.imagekit.io/toolbx/ecommerce/NCL/CL4834PP.jpg,,,,,,,,,,,,,,,
New Canadians Lumber,Lumber,1x8x8' Oak Lumber,O188,False,$61.60,/each,https://shop.newcanadianslumber.com/p/1x8x8-oak-lumber/O188,https://ik.imagekit.io/toolbx/ecommerce/NCL/O188.jpeg,,,,,,,,,,,,,,,
New Canadians Lumber,Lumber,2x6x24' Premium SPF,S2624,False,$64.89,/each,https://shop.newcanadianslumber.com/p/2x6x24-premium-spf/S2624,https://ik.imagekit.io/toolbx/ecommerce/NCL/S2624.jpeg,,,,,,,,,,,,,,,
New Canadians Lumber,Lumber,1x8x8' PT,PT188,False,$14.04,/each,https://shop.newcanadianslumber.com/p/1x8x8-pt/PT188,https://ik.imagekit.io/toolbx/p_1606681187994_7d6c398a-ed30-43c7-a354-0f9659615643.jpg,,,,,,,,,,,,,,,
New Canadians Lumber,Lumber,2x12x8' Premium SPF,S2128,False,$30.99,/each,https://shop.newcanadianslumber.com/p/2x12x8-premium-spf/S2128,https://ik.imagekit.io/toolbx/src-img/106968349651,,,,,,,,,,,,,,,
